accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$109,5,,14489648,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$95,5,,14489648,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,90,1,$93,5,,14186538,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$109,5,,14489648,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,90,1,$93,5,,14186538,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$109,5,,14489648,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,90,1,$75,5,,14186538,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,90,1,$93,5,,14186538,,,10
10,bath,bed,bedroom,10,10,10,98,,38.02566,10,-78.50703,,1,2,,90,1,$93,5,,14186538,,,10
10,private bath,beds,bedrooms,10,10,10,99,,38.03743,10,-78.42195,,2,4,,94,2,$95,5,,14489648,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$100,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$100,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$100,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$95,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$95,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$90,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$92,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$99,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$90,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$99,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$100,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$100,5,,13743664,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,156,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,156,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$80,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$83,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$74,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$75,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$80,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$79,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$78,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$82,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$83,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,156,1,$73,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$69,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$75,5,,2399994,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$114,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$117,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$106,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$121,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$123,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$119,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$107,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$112,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$122,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$114,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$122,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$121,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$136,5,,13743664,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,156,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$114,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$117,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$106,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$121,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$123,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$119,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$107,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$112,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$122,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$114,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$122,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$121,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$136,5,,13743664,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,156,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$100,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$100,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$100,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$95,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$95,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$90,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$92,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$99,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$90,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$99,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$100,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$100,5,,13743664,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$114,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$117,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$106,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$121,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$123,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$119,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$107,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$112,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$122,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$114,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$122,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$121,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$136,5,,13743664,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,157,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$114,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$117,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$106,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$121,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$123,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$119,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$107,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$112,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$122,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$114,5,,17337587,,,10
10,bath,bed,bedroom,10,9,10,96,,38.02449,10,-78.48075,,1,4,,381,1,$122,5,,4391817,,,9
10,baths,bed,bedroom,10,10,10,98,,38.03457,10,-78.47952,,1,2,,255,1,$121,5,,98084,,,10
10,bath,beds,bedrooms,10,10,10,98,,38.02077,10,-78.48313,,3,4,,197,2,$136,5,,13743664,,,10
10,shared bath,beds,bedroom,10,9,10,91,,38.03023,10,-78.48867,,2,2,,207,1,$91,4.5,,1601402,,,9
10,bath,bed,bedroom,10,10,10,98,,38.06165,10,-78.50358,,1,3,,131,1,$101,5,,13715759,,,10
10,shared bath,beds,bedrooms,10,10,10,100,,38.04531,10,-78.46786,,2,4,,7,2,$97,5,,38344624,,,10
10,bath,beds,bedrooms,10,9,10,96,,38.029,10,-78.46394,,2,4,,285,2,$99,5,,762275,,,9
10,bath,beds,bedrooms,10,10,10,96,,38.0198,10,-78.46376,,3,6,,622,3,$91,5,,1560850,,,10
10,bath,bed,Studio,10,10,10,98,,38.03619,10,-78.46024,,1,4,,11,0,$99,5,,37213769,,,10
10,baths,beds,bedrooms,10,10,10,99,,38.08404,10,-78.48808,,2,4,,189,2,$95,5,,21227688,,,10
10,bath,beds,bedrooms,10,10,10,97,,38.02333,10,-78.50342,,3,4,,164,2,$94,5,,22097621,,,10
10,bath,beds,Studio,10,10,10,100,,38.06301,10,-78.48075,,2,4,,7,0,$95,5,,41146727,,,10
10,bath,beds,bedroom,10,10,10,98,,38.02579,10,-78.47593,,2,3,,157,1,$97,5,,22626013,,,10
10,bath,beds,bedroom,10,10,10,97,,38.03727,10,-78.47854,,2,4,,155,1,$92,5,,156430,,,10
10,bath,beds,Studio,10,10,10,99,,38.04792,10,-78.48525,,2,4,,465,0,$96,5,,2399994,,,10
10,shared bath,beds,bedroom,10,10,10,100,,38.08332,10,-78.48421,,2,3,,8,1,$100,5,,3039395,,,10
,baths,beds,bedrooms,,,,,,38.06209,,-78.50561,,0,5,,,3,$100,,,42171057,,,
10,baths,bed,bedroom,10,10,10,99,,38.04467,10,-78.47095,,1,2,,58,1,$90,5,,1382827,,,10
,private bath,bed,bedroom,,,,,,38.08326,,-78.49861,,1,2,,,1,$100,,,33959757,,,
10,bath,bed,bedroom,10,10,10,100,,38.06448,10,-78.50478,,1,4,,36,1,$95,5,,24685846,,,10
10,private bath,beds,bedroom,10,10,10,100,,38.03343,10,-78.46788,,2,3,,84,1,$95,5,,19431411,,,10
10,private bath,bed,bedroom,10,10,10,99,,38.03468,10,-78.49124,,1,2,,83,1,$90,5,,13605308,,,10
10,baths,beds,bedroom,10,10,10,97,,38.0357,10,-78.48032,,2,2,,24,1,$92,5,,26714842,,,10
10,bath,beds,bedrooms,10,10,10,99,,38.04497,10,-78.45351,,2,3,,22,2,$99,5,,7772434,,,10
10,bath,beds,bedroom,10,10,10,97,,38.02624,10,-78.47314,,2,4,,309,1,$90,5,,17337587,,,10
